Easting (X),Northing (Y),Hosp
,,
36.8191878,-1.2800161,"Nairobi Central, Starehe, Starehe, Nairobi, Kenya"
,,
36.8219462,-1.2920659,"Nairobi, Kenya"
,,
,,
,,
36.8840185,-1.24375,"Nairobi, Kenya"
36.8765859,-1.2469147,"QV3H+FP6, Baba Dogo Rd, Nairobi, Kenya"
36.8808788,-1.2438912,"Baba Dogo, Nairobi, Kenya"
,,
36.7550883,-1.2685439,"Nairobi, Kenya"
36.8606809,-1.2890282,"Bahati Health Centre, Natron Road, Kimathi sublocation, Maringo/Hamza ward, Makadara subcounty, Nairobi, 00610, Kenya"
36.8628749,-1.2890282,"Heshima Ave, Nairobi, Kenya"
36.9004979,-1.3060895,"Bahati Tassia Medical Centre, Dolphin Court, Kwa Ndege, Tassia, Embakasi, Nairobi, 00515, Kenya"
,,
36.8219462,-1.2920659,"Nairobi, Kenya"
36.902081,-1.222583,"Mathare North, Ruaraka, Nairobi, Kenya"
,,
36.7879776,-1.3114234,"Woodley, Kibra, Kibra, Nairobi, Kenya"
,,
36.8054,-1.2947749,"Kilimani, Dagoretti North, Dagoretti North, Nairobi, Kenya"
36.8132306,-1.298356,"Upper Hill, Nairobi, Kenya"
36.9175557,-1.2741518,"PWG9+82F Embakasi Central, Nairobi, Kenya"
36.8219462,-1.2920659,"Nairobi, Kenya"
,,
36.8246604,-1.2819238,"Kileleshwa, Dagoretti North, Dagoretti North, Nairobi, Kenya"
36.7920489,-1.3156087,"Lindi, Kibra, Nairobi, Kenya"
36.769084,-1.33652,"Karen Boyani Rd, Nairobi, Kenya"
,,
36.85386,-1.371275,"Mugumo-ini, Nairobi, Kenya"
,,
36.8498897,-1.2870548,"Nairobi, Kenya"
36.8161136,-1.2831679,"Kabiro, Dagoretti North, Dagoretti South, Nairobi, Kenya"
36.8844394,-1.3144759,"Alice Nursing Home, Quarry road, Kware, Kware ward, Embakasi, Nairobi, 00501, Kenya"
,,
,,
36.8222123,-1.2619718,"3rd Parklands Avenue, Nairobi, Kenya"
36.807294,-1.289115,"Kilimani, Dagoretti North, Dagoretti North, Nairobi, Kenya"
36.812022,-1.2675001,"Karura, Westlands, Nairobi, Kenya"
,,
,,
36.8774526,-1.2791978,"Harambee, National Library Services Complex, Mumias S Rd, Nairobi, Kenya"
36.7628718,-1.3953635,"South C, Nairobi, Kenya"
36.8622373,-1.2633783,"Airbase, Nairobi, Kenya"
36.8137023,-1.2583752,"Parklands/Highridge, Westlands, Nairobi, Kenya"
,,
36.8986484,-1.2397456,"Nairobi, Kenya"
36.891384,-1.2163726,"Zimmerman, Nairobi, Kenya"
,,
,,
36.8999616,-1.3237858,"Upper Savannah, Embakasi East, Embakasi East, Nairobi, Kenya"
,,
,,
,,
,,
37.906193,-0.023559,Kenya
36.8943,-1.2507,"PVXV+PPF, Nairobi, Kenya"
,,
,,
,,
,,
36.957592,-1.2897282,"Nairobi, Kenya"
,,
36.8223358,-1.2854576,"Nairobi South, Starehe, Starehe, Nairobi, Kenya"
36.8877275,-1.325261,"Kwa Reuben, Nairobi, Kenya"
,,
,,
36.8691266,-1.2574218,"PVR9+VQ7, Nairobi, Kenya"
36.9025341,-1.2482437,"Dandora Area II, Embakasi North, Embakasi North, Nairobi, Kenya"
,,
,,
36.745741,-1.269672,"Gatina, Kenya"
36.8337743,-1.287693,"Landimawe, Starehe, Starehe, Nairobi, Kenya"
36.6966148,-1.2890552,"PM5W+VCP, Kikuyu Rd, Nairobi, Kenya"
36.8918044,-1.251075,"Dandora Area I, Embakasi North, Embakasi North, Nairobi, Kenya"
38.3639837,-3.5032932,"Mwatate, Kenya"
38.3639837,-3.5032932,"Mugumo-ini, Nairobi, Kenya"
36.9105152,-1.2756071,"Kayole Central, Embakasi Central, Embakasi, Nairobi, Kenya"
36.9084356,-1.2684816,"Komarock, Embakasi Central, Embakasi, Nairobi, Kenya"
36.8219462,-1.2920659,"Nairobi, Kenya"
36.8640861,-1.2915477,"Maringo/Hamza, Nairobi, Kenya"
36.8477148,-1.2799193,"General Waruingi St, Eastleigh, Next to Nomad Palace Hotel, Nairobi, Kenya"
36.807249,-1.296008,"General Accident House, Ralph Bunche Rd, Nairobi, Kenya"
36.8033705,-1.2958727,"Argwings Kodhek Road, Nairobi, Kenya"
36.818561,-1.280456,"Nairobi Central, Nairobi, Kenya"
36.8243556,-1.2763345,"Opposite River Bank Primary, PRFF+FP9, Ramesh Gautama Rd, Nairobi, Kenya"
36.8223358,-1.2854576,"Landimawe, Starehe, Starehe, Nairobi, Kenya"
36.8382885,-1.3113355,"Nairobi South, Nairobi, Kenya"
36.8284886,-1.3138048,"Muhoho Ave, Nairobi, Kenya"
36.8228861,-1.319715,"Nairobi West, Nairobi, Kenya"
36.825881,-1.3066017,"Gandhi Ave, Nairobi, Kenya"
36.810345,-1.316366,"Off Langâ€™ata rd, Nairobi, Kenya"
36.8481278,-1.2733723,"Eastleigh, Nairobi, Kenya"
36.8219462,-1.2920659,"Nairobi, Kenya"
36.781836,-1.298969,"Kilimani Rd Kilimani Dagoreti North NULL, Nairobi, Kenya"
36.7879942,-1.3114323,"Nakhayo Medical Clinic, Ali Jaden Road, Kibera, Lindi ward, Kibra, Nairobi, 44847, Kenya"
36.902924,-1.1998865,"Githurai, Kenya"
36.8068995,-1.3049353,"Kenyatta Hospital Estate, Nairobi City, Kenya"
,,
36.8062165,-1.3051163,"MRV4+XF4, Nairobi, Kenya"
36.7940172,-1.2877694,"off Rose Ave, Nairobi, Kenya"
36.8640441,-1.2527437,"Utalii, Ruaraka, Nairobi, Kenya"
36.7917431,-1.3142297,"MQPR+8M5, Sheikh Mahmoud Rd, Nairobi, Kenya"
36.7878418,-1.2889569,"Turbo Road, off Lenana Rd, Nairobi, Kenya"
36.8345303,-1.3049567,"California, Nairobi, Kenya"
,,
36.7397964,-1.2938321,"Riruta, Nairobi, Kenya"
36.8978019,-1.2540566,"PVWX+94F, Nairobi, Kenya"
36.9236474,-1.2565244,"Nairobi, Kenya"
36.8223358,-1.2854576,"Landimawe, Starehe, Starehe, Nairobi, Kenya"
36.831537,-1.2731707,"Next To Ngara Nursery School, Park Rd, Nairobi, Kenya"
36.7906854,-1.2994605,"Woodley, Kibra, Kibra, Nairobi, Kenya"
36.883418,-1.234584,"Kiambu, Kenya"
,,
36.920558,-1.229663,"Kasarani Mwiki Rd, Nairobi, Kenya"
36.920558,-1.229663,"Kasarani Mwiki Rd, Nairobi, Kenya"
36.9318,-1.2493,"QW2J+7PF, Nairobi, Kenya"
36.88542,-1.2461716,"Nairobi, Kenya"
36.866012,-1.2531189,"Utalii, Ruaraka, Nairobi, Kenya"
36.7879776,-1.3114234,"Woodley, Kibra, Kibra, Nairobi, Kenya"
36.7416701,-1.2865883,"Kabiro, Dagoretti North, Dagoretti South, Nairobi, Kenya"
36.7388981,-1.2835568,"Naivasha Rd, Nairobi, Kenya"
,,
,,
36.8251768,-1.2824683,"Latema Rd, Nairobi, Kenya"
36.8640861,-1.2915477,"Maringo/Hamza, Makadara, Nairobi, Kenya"
36.9030276,-1.1836556,"Nairobi, Kenya"
,,
,,
,,
,,
36.748803,-1.2664725,"Nairobi, Kenya"
36.8398293,-1.272545,"Starehe, Nairobi, Kenya"
,,
,,
36.8320124,-1.273656,"Kinsasha Rd, Nairobi City, Kenya"
36.8317244,-1.273818,"Park Road Nairobi KE, Nairobi, Kenya"
36.9093555,-1.2793101,"Patanisho Estate, Lower Savannah, off Masimba Rd, Nairobi, Kenya"
36.891712,-1.2573718,"Phase 1, Dandora Community Centre, Muigai Kenyatta Rd, Nairobi, Kenya"
36.8986705,-1.3199126,"Kayole Central, Embakasi Central, Embakasi, Nairobi, Kenya"
36.8929823,-1.3174881,"Pipeline, Embakasi South, Embakasi South, Nairobi, Kenya"
,,
36.9057288,-1.2743571,"Umoja, Nairobi, Kenya"
,,
,,
,,
,,
36.896815,-1.323327,"Nairobi, Kenya"
36.809828,-1.2675001,"Jemindas Nursing Home Limited, Mogotio Road, Highridge sublocation, Highridge location, Highridge division, Westlands, Nairobi, 97104, Kenya"
,,
36.8246068,-1.2871796,"Reinsurance Plaza, Nairobi, Kenya"
36.7919177,-1.8421285,"Ewuaso Oo Nkidong'i, Kajiado West, Kajiado West, Kajiado, Kajiado, Kenya"
36.9247384,-1.2247947,"Nairobi, Kenya"
36.7476257,-1.3640944,"Nairobi West, Nairobi, Kenya"
,,
36.8215749,-1.2848028,"Nairobi Central, Starehe, Starehe, Nairobi, Kenya"
36.9863415,-1.2536408,"Ruai, Nairobi, Kenya"
36.8228142,-1.2839456,"209/2647, Nairobi, Kenya"
,,
,,
36.8962826,-1.2091997,"Zimmerman, Nairobi, Kenya"
36.9247103,-1.2532054,"PWWF+PV8, Nairobi, Kenya"
36.9069054,-1.1858857,"Nairobi, Kenya"
,,
36.9089417,-1.2705731,"Komarock, Embakasi Central, Embakasi, Nairobi, Kenya"
,,
36.8801582,-1.284629,"5th Floor, Tumaini House, Opposite Kencom House, Mumias S Rd, Nairobi, Kenya"
,,
36.8909401,-1.2503642,"Korogocho, Nairobi, Kenya"
36.9121718,-1.2705983,"KAYOLE OPPOSITE COOPERATIVE BANK &, Kayole Spine Rd, Nairobi, Kenya"
36.9121718,-1.2705983,"KAYOLE OPPOSITE COOPERATIVE BANK &, Kayole Spine Rd, Nairobi, Kenya"
,,
36.8885924,-1.2501157,"Korogocho, Nairobi, Kenya"
36.8822833,-1.2856717,"Umoja I, Embakasi West, Embakasi West, Nairobi, Kenya"
,,
36.9084356,-1.2684816,"Komarock, Embakasi Central, Embakasi, Nairobi, Kenya"
,,
36.8457298,-1.2777982,"PRCW+V7Q, Nairobi, Kenya"
36.8458948,-1.2816688,"Nairobi, Kenya"
36.8454773,-1.2806642,"Pumwani, Nairobi, Kenya"
36.8454773,-1.2806642,"Pumwani, Nairobi, Kenya"
,,
36.9011284,-1.2182075,"Radiant Hospital, Nairobi, Kenya"
36.8404648,-1.2690277,"Pangani, Along Juja Road, Opposite Getrude Chidlren's Hospital, Next to FM Pub, Pangani, Nairobi, Kenya"
36.8511395,-1.278046,"Mountain View, Westlands, PVF2+HPX, Niinth St, Nairobi, Kenya"
36.7810802,-1.3126257,"MQPJ+WCW, Nairobi, Kenya"
36.8434437,-1.3166473,"Nairobi South, Starehe, Starehe, Nairobi, Kenya"
,,
,,
,,
,,
36.7516044,-1.2879066,"Kabiro, Dagoretti North, Dagoretti South, Nairobi, Kenya"
36.88044,-1.240591,"Kariobangi South, Embakasi West, Embakasi West, Nairobi, Kenya"
36.886122,-1.2624895,"Kariobangi South, Embakasi West, Embakasi West, Nairobi, Kenya"
36.887867,-1.247785,"Nairobi, Kenya"
36.7778633,-1.0585516,"Muthwani, Athi River, Mavoko, Machakos, Kenya"
36.892503,-1.2877943,"Moi Drive Tena Estate Nairobi KE, Nairobi, Kenya"
36.9120374,-1.2428811,"Nairobi, Kenya"
36.8877275,-1.325261,"Kwa Reuben, Nairobi, Kenya"
36.7753774,-1.3156108,"MQMG+Q52, Nairobi, Kenya"
36.7138684,-1.2819632,"Waithaka, Dagoretti South, Dagoretti South, Nairobi, Kenya"
36.8238115,-1.2920429,"Landimawe, Starehe, Starehe, Nairobi, Kenya"
36.830077,-1.285312,"Room 1 A 1, 1st Floor, Gatkim Building, Behind Ronald Ngara Post Office, Next To Mumbi House, Temple Ln, Nairobi, Kenya"
,,
36.7412836,-1.2870597,"Kawangware, Dagoretti North, Dagoretti North, PP5R+WGV, Nyakinyua Rd, Nairobi, Kenya"
,,
36.8999616,-1.3237858,"Embakasi, Embakasi East, Embakasi East, Nairobi, Kenya"
36.8999616,-1.3237858,"Embakasi, Embakasi East, Embakasi East, Nairobi, Kenya"
36.7751445,-1.311121,"Sarang'ombe, Nairobi, Kenya"
36.88044,-1.240591,"Kariobangi South, Embakasi West, Embakasi West, Nairobi, Kenya"
,,
36.913794,-1.2064151,"Githurai, Nairobi, Kenya"
36.7895942,-1.3141083,"Kibra Drive, Nairobi, Kenya"
,,
36.9896,-1.2682,"PXJQ+PRH, Nairobi, Kenya"
36.986028,-1.2558961,"Ruai, Nairobi, Kenya"
36.9890933,-1.2760243,"Ruai, Nairobi, Kenya"
36.8808064,-1.2439336,"Ruaraka, Nairobi, Kenya"
36.885225,-1.226956,"Opposite Safari Park Hotel Thika Road, Nairobi, Kenya"
36.8277654,-1.2876476,"Starehe, Nairobi, Kenya"
36.8328453,-1.307123,"Makina, Nairobi, Kenya"
,,
36.9161927,-1.255958,"Kangundo Rd, Nairobi, Kenya"
,,
36.9119404,-1.2422429,"Dandora Area Iv, Embakasi North, Embakasi North, QW56+4Q3, Nairobi, Kenya"
36.9032849,-1.2171461,"Clay City, Nairobi, Kenya"
,,
36.9111411,-1.2721819,"Komarock, Embakasi Central, Embakasi, Nairobi, Kenya"
36.7476257,-1.3640944,"Nyayo Highrise, Nairobi, Kenya"
36.8347505,-1.305288,"3rd Floor, Joginder Building, Industrial Area, Butere Rd, Nairobi, Kenya"
30.6458749,-2.495627,"Ngara, Tanzania"
36.8922993,-1.3280918,"South, Embakasi South, Nairobi, Kenya"
,,
,,
,,
36.789034,-1.307593,"Mugumo-ini, Nairobi, Kenya"
,,
36.7476257,-1.3640944,"Langata, Nairobi, Kenya"
,,
,,
,,
36.8328453,-1.307123,"Pumwani, Nairobi, Kenya"
36.8425202,-1.2899731,"Pumwani, Nairobi, Kenya"
36.8479018,-1.2898823,"Shauri Moyo, Nairobi, Kenya"
,,
36.8663211,-1.2936826,"Maringo/Hamza, Makadara, Nairobi, Kenya"
,,
,,
,,
36.8020845,-1.322523,"Nyayo Highrise, Nairobi, Kenya"
,,
36.8386126,-1.2810739,"Starehe, Nairobi, Kenya"
36.8376746,-1.3122026,"Kapiti Cres, Nairobi, Kenya"
36.8328687,-1.3145443,"Nairobi South, Starehe, Starehe, Nairobi, Kenya"
,,
36.9181006,-1.2692754,"PWJ9+76Q, Nairobi, Kenya"
36.7794257,-1.3208096,"Mugumo-ini, Nairobi, Kenya"
,,
36.7791903,-1.3112301,"Sarang'ombe, Nairobi, Kenya"
,,
36.9093896,-1.2477798,"Dandora Area I, Nairobi, Kenya"
36.783796,-1.321342,"Mugumo-Ini St, Nairobi, Kenya"
36.7074099,-1.2299612,"Kabete Back Rd, Nairobi, Kenya"
36.913794,-1.2064151,"Githurai, Nairobi, Kenya"
,,
36.8978166,-1.2788528,"Close To Wamimo General Shop, Next To Chief's Camp, Umoja Two, PVCX+F44, Moi Drive, Nairobi, Kenya"
36.9752705,-1.2775805,"Utawala, Embakasi East, Embakasi East, PXCG+W2F, Nairobi, Kenya"
36.914091,-1.280141,"Nairobi, Kenya"
,,
,,
,,
,,
,,
,,
36.9158226,-1.2256602,"Kasarani - Mwiki Road, QWH9+52Q, City Chicken Road, Nairobi, Kenya"
36.8219462,-1.2920659,"Nairobi, Kenya"
,,
,,
,,
,,
,,
,,
36.9432767,-1.248971,"Njiru, Nairobi, Kenya"
36.8468517,-1.290484,"California, Nairobi, Kenya"
36.9076138,-1.1807935,"Nairobi, Kenya"
,,
36.7391194,-1.270955,"PPHQ+JJ9, Nairobi, Kenya"
36.7414444,-1.302741,"MPWR+WH4, Nairobi, Kenya"
,,
36.8014305,-1.3154753,"Nyayo Highrise, Nairobi, Kenya"
36.8276125,-1.1701326,"Township, Kiambu, Kenya"
,,
,,
36.7836063,-1.3119669,"St Mary's Medical Clinic, Karanja Road, Makina ward, Kibra, Nairobi, 44847, Kenya"
,,
36.7745246,-1.3226104,"Lang’ata, Nairobi, Kenya, Nairobi, Kenya"
36.9051393,-1.2829101,"PW84+R3J, Nairobi, Kenya"
,,
36.9069054,-1.1858857,"Nairobi, Kenya"
,,
,,
,,
,,
36.881468,-1.253358,"Kariobangi North, Embakasi North, Embakasi North, Nairobi, Kenya"
,,
36.8951996,-1.2058885,"Zimmerman, Nairobi, Kenya"
36.7516044,-1.2879066,"Kabiro, Dagoretti North, Dagoretti South, Nairobi, Kenya"
36.7516044,-1.2879066,"Kabiro, Dagoretti North, Dagoretti South, Nairobi, Kenya"
36.8482927,-1.2682862,"Nairobi, Kenya"
,,
,,
36.848767,-1.266822,"Nairobi, Kenya"
36.8219462,-1.2920659,"Nairobi, Kenya"
36.7794,-1.3101,"Nairobi, Kenya"
,,
,,
,,
,,
,,
36.8480792,-1.2740897,"PRGX+968, FIrst Avenue, Nairobi, Kenya"
,,
36.9225023,-1.2305156,"Santon Estate Kamutini Stage, QW9F+Q2R, Santon CFW Clinic, Nairobi, Kenya"
36.8398293,-1.272545,"Starehe, Nairobi, Kenya"
34.508523,-8.783195,Africa
36.8268237,-1.2865228,"KTDA Plaza, Tom Mboya St, Nairobi, Kenya"
,,
36.9242631,-1.2633137,"North, Kenya"
36.7744025,-1.3107583,"Swop Clinic, Kibera Drive, Ayany, Sarang'ombe ward, Kibra, Nairobi, 44847, Kenya"
36.7375018,-1.2843362,"Riruta, Dagoretti South, Dagoretti South, Nairobi, Kenya"
36.8822433,-1.2566053,"Kariobangi North, Embakasi North, Embakasi North, Nairobi, Kenya"
36.8941491,-1.2974816,"PV3V+2M2, Nairobi, Kenya"
36.8705483,-1.2370494,"Nairobi, Kenya"
36.7801709,-1.316234,"Nairobi, Kenya"
36.8312195,-1.2744699,"Al Furqan Towers, Park Rd, Nairobi, Kenya"
36.9051196,-1.19937,"Ground Floor, Near Allan Arcade 44 Kamiti Road, Tazama dental kwa meno, street, Nairobi, Kenya"
,,
,,
36.82453,-1.291846,"Landimawe, Starehe, Starehe, Nairobi, Kenya"
36.890202,-1.2919453,"Umoja I, Embakasi West, Embakasi West, Nairobi, Kenya"
36.9069151,-1.2482987,"Embakasi North, Nairobi, Kenya"
,,
36.8208252,-1.3114307,"South C Junction of Mai Mahiu Rd, Thogoto Rd, Nairobi, Kenya"
36.8957363,-1.2188899,"Pazuri Place, Kasarani Mwiki Rd, Nairobi, Kenya"
,,
,,
,,
36.7412836,-1.2870597,"Riruta, Dagoretti South, Dagoretti South, Nairobi, Kenya"
36.9196841,-1.2619407,"Kayole North, Embakasi Central, Embakasi, Nairobi, Kenya"
,,
36.4974635,-1.1488449,"Ewuaso Oo Nkidong'i, Kajiado West, Kajiado West, Kajiado, Ewaso Kendong, Kenya"
36.7731308,-1.3087999,"Nairobi, Kenya"
,,
,,
,,
36.870488,-1.28223,"Harambee, Makadara, Makadara, Nairobi, Kenya"
,,
36.8879083,-1.2821248,"Umoja I, Embakasi West, Embakasi West, Nairobi, Kenya"
36.9057288,-1.2743571,"Umoja, Nairobi, Kenya"
36.8885706,-1.2866398,"Mowlem, Embakasi West, Embakasi West, Nairobi, Kenya"
36.8944706,-1.2833069,"Umoja I, Moi Drive, Nairobi, Kenya"
36.879145,-1.2184326,"Nairobi, Kenya"
,,
,,
36.8038026,-1.273882,"Kilimani, Dagoretti North, Dagoretti North, Nairobi, Kenya"
36.809188,-1.2785279,"PRC5+HMP, State House Rd, Nairobi, Kenya"
36.8219462,-1.2920659,"Nairobi, Kenya"
,,
36.8721139,-1.2952979,"Maringo/Hamza, Nairobi, Kenya"
36.8584035,-1.2633625,"Upendo Dispensary, Mau Mau Road, Mathare 3B, Mlango Kubwa ward, Mathare, Nairobi, 00611, Kenya"
36.9099203,-1.1989923,"Githurai 44, Githurai, Kenya"
36.7727035,-1.307718,"Sarang'ombe, Nairobi, Kenya"
36.9745167,-1.2888935,"Utawala Kincar stage, Nairobi, Kenya"
36.7182565,-1.2687273,"Uthiru/Ruthimitu, Dagoretti South, Dagoretti South, PPJ9+M62, Mugi Road, Nairobi, Kenya"
36.8576966,-1.2571072,"Thika Rd, Nairobi, Kenya"
36.8328453,-1.307123,"Woodley, Kibra, Kibra, Nairobi, Kenya"
,,
,,
,,
,,
36.7892073,-1.3022059,"Vips Centre, Off, Ngong Rd, Nairobi, Kenya"
36.7139515,-1.281995,"Waithaka, Nairobi, Kenya"
36.86701385,-1.2590773,"Wakibe Medical Clinic, Mbuthia Lane, Ngei 2B, Huruma ward, Mathare, Nairobi, 00611, Kenya"
36.9025341,-1.2482437,"Dandora Area I, Embakasi North, Embakasi North, Nairobi, Kenya"
36.9890933,-1.2760243,"Ruai, Nairobi, Kenya"
36.9199823,-1.2064772,"Thika Rd, Nairobi, Kenya"
36.9245259,-1.2256166,"00300, Opposite Safe Landing Guest House, Off Mwiki - Kasarani Road, Nairobi, Kenya"
36.7757822,-1.3362692,"Mugumo-ini, Nairobi, Kenya"
36.7933882,-1.2971868,"Mugumo-ini, Nairobi, Kenya"
36.9154709,-1.2837688,"Nairobi, Kenya"
,,
36.7498955,-1.2865675,"Salim Road, Nairobi, Kenya"
,,
36.812022,-1.2675001,"Westlands, Nairobi, Kenya"
36.799723,-1.260891,"Nairobi, Kenya"
36.803648,-1.2645483,"Parklands/Highridge, Westlands, Nairobi, Kenya"
,,
36.7879776,-1.3114234,"Woodley, Kibra, Kibra, Nairobi, Kenya"
36.8600088,-1.2731795,"Nairobi, Kenya"
,,
36.8869064,-1.2184586,"Zimmerman, Nairobi, Kenya"
,,
36.8271,-1.3146631,"South C, Nairobi, Kenya"
