Easting (X),Northing (Y),Hosp
36.7882765,-1.3100272,"Makina Clinic, Sheikh Mahmoud Road, Makina ward, Kibra, Nairobi, 44847, Kenya"
,,
,,
,,
36.9191317,-1.2751111,"Kayole South, Embakasi Central, Embakasi Central, Nairobi, Kenya"
36.8976372,-1.2253995,"Ruai, Nairobi, Kenya"
36.9407301,-1.3921923,"3Ds HOTEL, new weighbridge, Mlolongo, Kenya"
36.9727454,-1.2866604,"Utawala, Embakasi East, Embakasi East, Nairobi, Kenya"
36.7280692,-1.2889834,"Dagoretti, Kenya"
36.8253042,-1.2859911,"Nairobi Central, Starehe, PR7G+J43 Starehe, Nairobi, Kenya"
36.7857521,-1.2981586,"Kindaruma Road, opp kindaruma courts, Nairobi, Kenya"
36.7543886,-1.3961672,"Lindi, Kibra, Nairobi, Kenya"
36.8398293,-1.2667224,"Pangani, Nairobi, Kenya"
,,
36.8659998,-1.2905471,"Maringo/Hamza, Makadara, Nairobi, Kenya"
,,
,,
,,
36.866012,-1.2531189,"Near Moska Plaza, Along Mathare North Road, Off Mathare North Road, Nairobi, Kenya"
36.862699,-1.2052859,"Nairobi, Kenya"
36.8842093,-1.3212942,"Mugumo-ini, Nairobi, Kenya"
36.8567395,-1.2926065,"Nairobi, Kenya"
,,
36.8556296,-1.2652354,"PVM4+W72, Mathare N Rd, Nairobi, Kenya"
36.8661231,-1.2561557,"Hospital, Nairobi, Kenya"
36.8485962,-1.2607471,"Hospital, Mathare, Nairobi, Kenya"
36.8465546,-1.2608177,"PRQV+RRH, A2, Nairobi, Kenya"
36.8957815,-1.2188905,"Kasarani, Nairobi, Kenya"
36.7611906,-1.2438938,"Nairobi, Kenya"
36.9240577,-1.2573518,"Kayole Junction, PWVF+3J3, Kangundo Rd, Nairobi, Kenya"
,,
36.8640861,-1.2915477,"Maringo/Hamza, Nairobi, Kenya"
,,
,,
36.8243556,-1.2763345,"Ngara, Starehe, Starehe, Nairobi, Kenya"
,,
,,
,,
36.8765859,-1.2469147,"Korogocho, Nairobi, Kenya"
36.717489,-1.324555,"Karen Boyani Rd, Nairobi, Kenya"
36.9114873,-1.2785287,"Komarock, Embakasi Central, Embakasi Central, Nairobi, Kenya"
36.9084173,-1.2684944,"Komarocks, Nairobi, Kenya"
,,
36.8909401,-1.2503642,"Korogocho, Nairobi, Kenya"
36.8989906,-1.274009,"Kangundo Road Umoja II Embakasi West Nairobi KE, Nairobi, Kenya"
36.8113635,-1.2881478,"Kilimani, Dagoretti North, Dagoretti North, Nairobi, Kenya"
36.8238991,-1.2819119,"Nairobi Central, Starehe, Starehe, Nairobi, Kenya"
36.7940684,-1.3121712,"Laini Saba, Nairobi, Kenya"
,,
36.825871,-1.289656,"Enterprise Rd, Nairobi, Kenya"
36.7476257,-1.3640944,"Langata, Nairobi, Kenya"
36.7783,-1.3181,"MQJH+Q83, Nairobi, Kenya"
36.78929,-1.3277566,"MQFQ+83H, Gathingu Close, Nairobi, Kenya"
36.7756663,-1.3201734,"Mugumo-ini, Nairobi, Kenya"
36.8252588,-1.2828493,"Annas Arcade, Taveta Rd, Nairobi, Kenya"
36.7799739,-1.3145037,"Lea toto, pool table, Sarang'ombe ward, Kibra, Nairobi, 00517, Kenya"
36.7465103,-1.2722355,"Nairobi, Kenya"
36.7465103,-1.2722355,"Kariobangi South, Embakasi West, Embakasi West, Nairobi, Kenya"
36.871619,-1.3133121,"Kwa Reuben, Embakasi South, Embakasi South, Nairobi, Kenya"
36.6935815,-1.2881433,"Dagoretti South, Dagoretti South, Nairobi, Kenya"
36.8822433,-1.2566053,"Riruta, Dagoretti South, Dagoretti South, Nairobi, Kenya"
36.7790079,-1.3145211,"Nairobi, Kenya"
36.9252782,-1.2268966,"Mwiki, Nairobi, Kenya"
36.8469421,-1.3117872,"Landimawe, Starehe, Starehe, Nairobi, Kenya"
,,
36.8910636,-1.2166818,"Nairobi, Kenya"
36.9164364,-1.2764983,"Kayole Central, Embakasi Central, Embakasi, Nairobi, Kenya"
36.9036037,-1.2481608,"QW23+PCQ, Nairobi, Kenya"
36.783328,-1.314382,"Makina, Lindi rd, Nairobi, Kenya"
,,
,,
36.7254,-1.2911,"PP5G+H52, Nairobi, Kenya"
36.80584,-1.299993,"Nairobi, Kenya"
37.906193,-0.023559,Kenya
,,
37.906193,-0.023559,Kenya
36.895509,-1.227635,"Kasarani, Nairobi, Kenya"
36.801687,-1.2185985,"Nairobi, Kenya"
36.8543926,-1.2577134,"Utalii, Ruaraka, Nairobi, Kenya"
36.8076643,-1.3020942,"Hospital Rd, Nairobi, Kenya"
36.8869064,-1.2184586,"Kahawa, Roysambu, Nairobi, Kenya"
37.02346,-0.681902,"Roysambu Rd Royal Plaza, Nairobi, Kenya"
,,
,,
36.8178624,-1.2847831,"Barclays plaza, Market St, Nairobi, Kenya"
36.8196959,-1.2919586,"ABRA Health Services, Uhuru Highway, Kilimani sublocation, Kilimani location, Kilimani division, Westlands, Nairobi, 40476, Kenya"
36.7394386,-1.2711928,"Nairobi, Kenya"
36.8072381,-1.2960508,"Kileleshwa, Dagoretti North, Dagoretti North, Nairobi, Kenya"
36.8209419,-1.2841019,"PR8C+994, Banda St, Nairobi City, Kenya"
36.8656041,-1.2822758,"PV98+CH3, Nairobi, Kenya"
36.8741313,-1.3112846,"Viwandani, Nairobi, Kenya"
,,
,,
,,
36.8032509,-1.3076849,"Woodley, Kibra, Kibra, Nairobi, Kenya"
36.8454736,-1.2806505,"Makongeni, Makadara, Nairobi, Kenya"
36.7886424,-1.2601889,"Waiyaki Wy, Nairobi, Kenya"
,,
,,
36.7394386,-1.2711928,"Karura, Westlands, Nairobi, Kenya"
,,
,,
,,
,,
,,
,,
,,
36.7553831,-1.2944867,"Naivasha Rd, Nairobi, Kenya"
36.7553831,-1.2944867,"Naivasha Rd, Nairobi, Kenya"
,,
36.7989832,-1.2946147,"Kilimani, Dagoretti North, Dagoretti North, Nairobi, Kenya"
36.8280973,-1.2878795,"Lindi, Kibra, Nairobi, Kenya"
,,
36.7502267,-1.2823105,"Kabiro, Dagoretti North, Dagoretti South, Nairobi, Kenya"
36.8243208,-1.3078028,"Bukani Rd, Nairobi, Kenya"
,,
36.8815479,-1.2922481,"Buruburu, Nairobi, Kenya"
36.834656,-1.316227,"Viwandani, Capital Centre, Mombasa Road, Nairobi, Kenya"
36.822603,-1.283219,"Landimawe, Starehe, Starehe, Nairobi, Kenya"
,,
36.822603,-1.283219,"Nation Centre, Kimathi St, Nairobi, Kenya"
36.8971181,-1.2939161,"Upper Savannah, Embakasi East, Embakasi East, Nairobi, Kenya"
,,
36.8750659,-1.2877633,"Harambee, Makadara, Nairobi, Kenya"
,,
,,
,,
,,
,,
,,
36.8328453,-1.307123,"Nairobi Central, Starehe, Starehe, Nairobi, Kenya"
36.8275152,-1.2253029,"Karura, Westlands, Nairobi, Kenya"
,,
36.8595251,-1.2660341,"Airbase, PVM6+4GP, Nairobi, Kenya"
,,
36.9027045,-1.1990895,"Githurai, Nairobi, Kenya"
36.8842093,-1.3212942,"Muthwani, Athi River, Mavoko, Machakos, Kenya"
,,
36.8120972,-1.2634829,"Shivaji Road, Nairobi, Kenya"
36.8337414,-1.2847449,"Airbase, Nairobi, Kenya"
36.852287,-1.2660209,"Airbase, Nairobi, Kenya"
36.7879776,-1.3114234,"Sarang'ombe, Nairobi, Kenya"
36.8014305,-1.3154753,"Nyayo Highrise, Nairobi, Kenya"
36.7523652,-1.2822722,"Kawangware, Dagoretti North, Dagoretti North, Nairobi, Kenya"
36.7879776,-1.3114234,"Woodley, Kibra, Kibra, Nairobi, Kenya"
36.7745442,-1.3120192,"Sarang'ombe, Nairobi, Kenya"
36.7933882,-1.2971868,"Sarang'ombe, Nairobi, Kenya"
36.7879475,-1.3114845,"Kibera, Nairobi, Kenya"
36.7956466,-1.3112197,"Laini Saba, Nairobi, Kenya"
36.7823001,-1.308674,"Makina, Nairobi, Kenya"
36.7920489,-1.3156087,"Lindi, Kibra, Nairobi, Kenya"
36.7821469,-1.3078514,"Makina, Nairobi, Kenya"
36.7896226,-1.3133573,"MQPQ+MR5, Nairobi, Kenya"
36.7879475,-1.3114845,"Kibera, Nairobi, Kenya"
36.809252,-1.2646436,"Ngara, Starehe, Starehe, Nairobi, Kenya"
36.85386,-1.371275,"Mugumoini, Nairobi, Kenya"
,,
36.7821855,-1.3112736,"MQQJ+FVV, Nairobi, Kenya"
36.7572707,-1.3408959,"Karen Boyani Rd, Nairobi, Kenya"
,,
